epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,322.255,1.21921,0.66517,0.82894,0.97665,0.95622,0.98836,0.66737,1.22147,1.18806,0.85136,0.000986206,0.000986206,0.000986206
43,328.057,1.70772,0.7349,0.85611,0.97665,0.95622,0.98836,0.66737,1.22147,1.18806,0.85136,0.00099314,0.00099314,0.00099314
44,333.718,1.37832,0.87758,0.85762,0.97937,0.96286,0.9893,0.67566,1.20005,1.09374,0.85018,0.000999282,0.000999282,0.000999282
45,339.648,1.52605,0.72107,0.83994,0.97937,0.96286,0.9893,0.67566,1.20005,1.09374,0.85018,0.00100463,0.00100463,0.00100463
46,344.686,1.1732,0.72378,0.85087,0.97406,0.96564,0.98898,0.69277,1.17313,1.00063,0.84614,0.00100919,0.00100919,0.00100919
47,350.233,1.25949,0.67698,0.83768,0.97406,0.96564,0.98898,0.69277,1.17313,1.00063,0.84614,0.00101296,0.00101296,0.00101296
48,355.43,1.33076,0.6827,0.84531,0.96471,0.98,0.9904,0.68709,1.19516,0.91983,0.84943,0.00101593,0.00101593,0.00101593
49,361.169,1.41458,0.67288,0.83362,0.96471,0.98,0.9904,0.68709,1.19516,0.91983,0.84943,0.00101811,0.00101811,0.00101811
50,366.652,1.29082,0.65573,0.84091,0.96929,0.97714,0.99027,0.68801,1.17716,0.81936,0.85092,0.0010195,0.0010195,0.0010195
51,372.331,1.2489,0.64897,0.83935,0.96929,0.97714,0.99027,0.68801,1.17716,0.81936,0.85092,0.00101,0.00101,0.00101
52,377.821,1.24694,0.663,0.83628,0.96523,0.97429,0.98887,0.69134,1.1411,0.74663,0.84729,0.0009902,0.0009902,0.0009902
53,383.273,1.34041,0.80549,0.83565,0.96523,0.97429,0.98887,0.69134,1.1411,0.74663,0.84729,0.0009704,0.0009704,0.0009704
54,389.148,1.28175,0.68353,0.83464,0.97417,0.96998,0.98947,0.68852,1.13403,0.70749,0.84637,0.0009506,0.0009506,0.0009506
55,394.747,1.2784,0.68096,0.84646,0.97417,0.96998,0.98947,0.68852,1.13403,0.70749,0.84637,0.0009308,0.0009308,0.0009308
56,400.377,1.34991,0.67607,0.83707,0.97984,0.97192,0.99098,0.7029,1.11846,0.67936,0.84542,0.000911,0.000911,0.000911
57,405.905,1.25525,0.63887,0.83356,0.97984,0.97192,0.99098,0.7029,1.11846,0.67936,0.84542,0.0008912,0.0008912,0.0008912
58,411.789,1.36273,0.65837,0.84384,0.97988,0.97396,0.99134,0.70315,1.12232,0.66961,0.84526,0.0008714,0.0008714,0.0008714
59,417.409,1.19388,0.6131,0.83795,0.97988,0.97396,0.99134,0.70315,1.12232,0.66961,0.84526,0.0008516,0.0008516,0.0008516
60,423.37,1.31871,0.64036,0.8385,0.97152,0.9747,0.99147,0.71153,1.09629,0.65904,0.84426,0.0008318,0.0008318,0.0008318
61,428.907,1.18884,0.61329,0.83098,0.97152,0.9747,0.99147,0.71153,1.09629,0.65904,0.84426,0.000812,0.000812,0.000812
62,434.839,1.31381,0.61401,0.82222,0.96706,0.98571,0.9914,0.71611,1.10579,0.65223,0.84477,0.0007922,0.0007922,0.0007922
63,440.16,1.30158,0.66977,0.83562,0.96706,0.98571,0.9914,0.71611,1.10579,0.65223,0.84477,0.0007724,0.0007724,0.0007724
64,445.996,1.25358,0.62652,0.82823,0.97186,0.98662,0.9916,0.71717,1.07356,0.6358,0.84413,0.0007526,0.0007526,0.0007526
65,451.828,1.31762,0.62889,0.82495,0.97186,0.98662,0.9916,0.71717,1.07356,0.6358,0.84413,0.0007328,0.0007328,0.0007328
66,457.4,1.21409,0.60448,0.83772,0.9805,0.98286,0.99157,0.71464,1.0682,0.63145,0.84447,0.000713,0.000713,0.000713
67,463.285,1.29588,0.60738,0.82753,0.9805,0.98286,0.99157,0.71464,1.0682,0.63145,0.84447,0.0006932,0.0006932,0.0006932
68,468.555,1.14666,0.60979,0.8325,0.9846,0.98571,0.99175,0.70108,1.11363,0.63105,0.84678,0.0006734,0.0006734,0.0006734
69,473.85,1.47624,0.63903,0.83439,0.9846,0.98571,0.99175,0.70108,1.11363,0.63105,0.84678,0.0006536,0.0006536,0.0006536
70,479.411,1.22531,0.59476,0.82864,0.98561,0.97831,0.99169,0.71681,1.07086,0.60957,0.84283,0.0006338,0.0006338,0.0006338
71,484.971,1.22255,0.59796,0.82901,0.98561,0.97831,0.99169,0.71681,1.07086,0.60957,0.84283,0.000614,0.000614,0.000614
72,490.736,1.27041,0.61988,0.83631,0.9864,0.97429,0.99166,0.72445,1.05923,0.59838,0.84182,0.0005942,0.0005942,0.0005942
73,496.153,1.11179,0.59677,0.8314,0.9864,0.97429,0.99166,0.72445,1.05923,0.59838,0.84182,0.0005744,0.0005744,0.0005744
74,501.903,1.1383,0.58841,0.83679,0.98195,0.98286,0.99173,0.72488,1.03096,0.57991,0.84252,0.0005546,0.0005546,0.0005546
75,507.5,1.11813,0.58976,0.82966,0.98195,0.98286,0.99173,0.72488,1.03096,0.57991,0.84252,0.0005348,0.0005348,0.0005348
76,512.846,1.0578,0.57709,0.83105,0.98332,0.98286,0.99171,0.72664,1.03998,0.57671,0.84192,0.000515,0.000515,0.000515
77,518.557,1.28778,0.62343,0.8188,0.98332,0.98286,0.99171,0.72664,1.03998,0.57671,0.84192,0.0004952,0.0004952,0.0004952
78,524.047,1.18093,0.59366,0.82825,0.98853,0.98507,0.99165,0.72783,1.04762,0.57755,0.8427,0.0004754,0.0004754,0.0004754
79,529.826,1.15248,0.6506,0.8385,0.98853,0.98507,0.99165,0.72783,1.04762,0.57755,0.8427,0.0004556,0.0004556,0.0004556
80,535.677,1.33171,0.64318,0.83075,0.98856,0.98768,0.99171,0.71377,1.0925,0.58391,0.84549,0.0004358,0.0004358,0.0004358
81,541.337,1.29512,0.62371,0.82267,0.98856,0.98768,0.99171,0.71377,1.0925,0.58391,0.84549,0.000416,0.000416,0.000416
82,546.75,1.23679,0.58334,0.82234,0.98856,0.9875,0.99181,0.70632,1.12871,0.59213,0.84583,0.0003962,0.0003962,0.0003962
